@relation TransactionCategories
@attribute title string
@attribute class {zdrowie_i_uroda, zywnosc, transport, media, czynsz}

@data
"Paliwo",transport
"Zakup kosmetyków",zdrowie_i_uroda
"Fryzjer",zdrowie_i_uroda
"Bread and milk",zywnosc
"Chleb i mleko",zywnosc
"Naprawa roweru",transport
"Kino",media
"Członkostwo w siłowni", zdrowie_i_uroda
"Fast food", zywnosc
"Szybkie jedzenie", zywnosc
"Bilet kolejowy", transport
"Subskrypcja magazynu", media
"Bilety do kina", media
"Leki na przeziębienie", zdrowie_i_uroda
"Szampon i odżywka", zdrowie_i_uroda
"Kosmetyki do makijażu", zdrowie_i_uroda
"Warzywa i owoce", zywnosc
"Obiad w restauracji", zywnosc
"Benzyna", transport
"Bilet na koncert", media
"Członkostwo w siłowni", zdrowie_i_uroda
"Fast food", zywnosc
"Bilet na pociąg", transport
"Abonament telewizyjny", media
"Bilet do kina", media
"Opłata za wynajem mieszkania", czynsz
"Opłata za prąd", czynsz
"Telewizor", media
"Książka o zdrowym stylu życia", zdrowie_i_uroda
"Kosmetyki do pielęgnacji twarzy", zdrowie_i_uroda
"Wynajem roweru miejskiego", transport
"Bilet na pociąg", transport
"Przekąska na lotnisku", zywnosc
"Manicure", zdrowie_i_uroda
"Wynajem samochodu", transport
"Książki", media
"Ubrania", media
"Telefon komórkowy", media
"Przesyłka kurierska", transport
"Olejek do masażu", zdrowie_i_uroda
"Jogurt naturalny", zywnosc
"Bilet na metro", transport
"Subskrypcja czasopisma", media
"Opłata za wynajem mieszkania", czynsz
"Krem przeciwsłoneczny", zdrowie_i_uroda
"Sok pomarańczowy", zywnosc
"Opłata za parkowanie na lotnisku", transport
"Prenumerata gazety", media
"Rachunek za prąd", czynsz
"Rachunki", czynsz
"Suplement diety", zdrowie_i_uroda
"Chleb pełnoziarnisty", zywnosc
"Bilet na autobus miejski", transport
"Subskrypcja serwisu streamingowego", media
"Opłata za wynajem biura", czynsz
"Kosmetyki do pielęgnacji włosów", zdrowie_i_uroda
"Makaron i sos pomidorowy", zywnosc
"Opłata za bilet komunikacji miejskiej", transport
"Prenumerata magazynu modowego", media
"Rachunek za gaz", czynsz
"Kosmetyki do pielęgnacji skóry", zdrowie_i_uroda
"Ziemniaki i marchewki", zywnosc
"Bilet na tramwaj", transport
"Subskrypcja serwisu filmowego", media
"Wynajem mieszkania", czynsz
"Krem do rąk", zdrowie_i_uroda
"Owoce cytrusowe", zywnosc
"Paliwo do samochodu", transport
"Abonament telewizyjny", media
"Opłata za wynajem biura", czynsz
"Perfumy damskie", zdrowie_i_uroda
"Jogurt naturalny", zywnosc
"Bilet na pociąg ekspresowy", transport
"Prenumerata serwisu streamingowego", media
"Wynajem mieszkania na przedmieściach", czynsz
"Krem przeciwsłoneczny SPF 50", zdrowie_i_uroda
"Oliwa z oliwek extra virgin", zywnosc
"Paliwo do samochodu elektrycznego", transport
"Bilet na koncert rockowy", media
"Wynajem biura na godzinę", czynsz
"Maszynka do golenia", zdrowie_i_uroda
"Miód naturalny", zywnosc
"Bilet na autobus nocny", transport
"Prenumerata czasopisma naukowego", media
"Dom na wynajem na wsi", czynsz
"Szampon do włosów farbowanych", zdrowie_i_uroda
"Owoce sezonowe", zywnosc
"Bilet na lot samolotem", transport
"Prenumerata gazety sportowej", media
"Mieszkanie na wynajem w centrum miasta", czynsz
"Krem przeciwzmarszczkowy", zdrowie_i_uroda
"Kasza gryczana", zywnosc
"Bilet na statek wycieczkowy", transport
"Subskrypcja serwisu muzycznego", media
"Wynajem garażu", czynsz
"Zestaw do makijażu", zdrowie_i_uroda
"Mięso drobiowe", zywnosc
"Bilet na rower miejski", transport
"Subskrypcja audiobooków", media
"Wynajem pokoju na studiach", czynsz
"Perfumy męskie", zdrowie_i_uroda
"Warzywa świeże i sezonowe", zywnosc
"Bilet na autobus podmiejski", transport
"Subskrypcja serwisu streamingowego", media
"Kwatera na wynajem na wakacje", czynsz
"Pielęgnacja włosów", zdrowie_i_uroda
"Produkty ekologiczne", zywnosc
"Paliwo do samochodu hybrydowego", transport
"Kupno filmów online", media
"Wynajem domu na wakacje", czynsz
"Zestaw kosmetyków do makijażu", zdrowie_i_uroda
"Sok owocowy świeżo wyciskany", zywnosc
"Bilet na prom", transport
"Subskrypcja serwisu e-booków", media
"Wynajem apartamentu na plaży", czynsz
"Pielęgnacja paznokci", zdrowie_i_uroda
"Chleb pełnoziarnisty", zywnosc
"Bilet na rower górski", transport
"Subskrypcja gier online", media
"Wynajem domku letniskowego", czynsz
"Pielęgnacja ciała", zdrowie_i_uroda
"Produkty bezglutenowe", zywnosc
"Bilet na metro", transport
"Subskrypcja audiobooków", media
"Kwatera na wynajem w górach", czynsz
"Pielęgnacja twarzy", zdrowie_i_uroda
"Ryby świeże z targowiska", zywnosc
"Bilet na autobus miejski", transport
"Subskrypcja serwisu filmowego", media
"Wynajem apartamentu na wybrzeżu", czynsz
"Samochód", transport
"Jogurt", zywnosc
"Telewizor", media
"Kosmetyki", zdrowie_i_uroda
"Rower", transport
"Kamera", media
"Chleb", zywnosc
"Basen", zdrowie_i_uroda
"Komputer", media
"Mieszkanie", czynsz
"Kino", media
"Telefon", media
"Ser", zywnosc
"Fitness", zdrowie_i_uroda
"Rowerek", transport
"Gry komputerowe", media
"Makaron", zywnosc
"Gabinet stomatologiczny", zdrowie_i_uroda
"Tramwaj", transport
"Koncert", media
"Tablet", media
"Pomarańcze", zywnosc
"Siłownia", zdrowie_i_uroda
"Pociąg", transport
"Muzyka", media
"Kawa", zywnosc
"Dentysta", zdrowie_i_uroda
"Autobus", transport
"Kinofilm", media
"Herbata", zywnosc
"Psychoterapeuta", zdrowie_i_uroda
"Rozkład jazdy", transport
"Książki", media
"Chipsy", zywnosc
"Kosmetyczka", zdrowie_i_uroda
"Rower górski", transport
"Radio", media
"Miód", zywnosc
"Dermatolog", zdrowie_i_uroda
"Taxi", transport
"Serial TV", media
"Szpinak", zywnosc
"Fitness klub", zdrowie_i_uroda
"Bilet lotniczy", transport
"Film dokumentalny", media
"Chia seeds", zywnosc
"Pediatra", zdrowie_i_uroda
"Metropolitan", transport
"Gazeta", media
"Orzechy", zywnosc
"Fryzjer", zdrowie_i_uroda
"Motocykl", transport
"E-book", media
"Jogurt naturalny", zywnosc
"Okulista", zdrowie_i_uroda
"Autobus szkolny", transport
"Podcast", media
"Ciastka", zywnosc
"Przychodnia", zdrowie_i_uroda
"Bilet tramwajowy", transport
"Telewizja", media
"Awokado", zywnosc
"Chirurg plastyczny", zdrowie_i_uroda
"Rower miejski", transport
"Komiks", media
"Marchewka", zywnosc
"Dietetyk", zdrowie_i_uroda
"Kolejka górska", media
"Smartfon", media
"Pieczywo", zywnosc
"Stomatolog", zdrowie_i_uroda
"Taksówka", transport
"Gra wideo", media
"Jabłka", zywnosc
"Masaż", zdrowie_i_uroda
"Samolot", transport
"Internet", media
"Sałatka", zywnosc
"Fizjoterapeuta", zdrowie_i_uroda
"Pociąg ekspresowy", transport
"Strona internetowa", media
"Kasza", zywnosc
"Kosmetyki naturalne", zdrowie_i_uroda
"Autobus nocny", transport
